n,p,rho,sigma_eps,f_index,ale_tree_time,ale_local_time,shap_local_time,hyperparameters_nn,hyperparameters_rf,hyperparameters_gb,avg_r2_scores_nn,avg_r2_scores_rf,avg_r2_scores_gb
100,5,0.9,0.25,0,0.10571554177775196,0.0004393307371362714,0.030424612485094604,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (150,), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}","{'max_depth': 8, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1000}",0.971454641184239,0.848969718432917,0.8941201034003061
100,5,0.9,0.25,1,0.5050313748888837,0.0004470459864564737,0.24454123440650533,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (60, 60), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}","{'max_depth': 16, 'n_estimators': 3000}","{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}",0.8687807813854261,0.731271430557857,0.8228756034480975
100,5,0.9,0.25,1,0.11412878722229731,0.0004482511355039665,0.038866322739827125,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (60, 60), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}","{'max_depth': 16, 'n_estimators': 300}","{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",0.7426046638561212,0.6969072436405472,0.7909955905174203
100,5,0.9,0.25,1,0.08839077766672036,0.0004206145230181562,0.028124282883459212,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (40, 40), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}","{'max_depth': 8, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1000}",0.8613832943998135,0.7239188004153417,0.820710560200696
100,5,0.9,1.0,0,0.41799249077788164,0.00045707826287250857,0.16326089339297453,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}","{'max_depth': 4, 'n_estimators': 3000}","{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 1000}",0.5906393062919139,0.4975268055886893,0.4739880401568701
