results_file,config_name,signal,snr,rho,model,layers,act,solver,alpha,K,L,variant,local_method,levels_up,ale_tag,shap_tag,shap_method,shap_sample_method,shap_sample_size,cv_r2,max_r2,ale_bias2_d1,shap_bias2_d1,ale_stddev_d1,shap_stddev_d1,rel_stddev_reduction_d1,ale_bias2_d2,shap_bias2_d2,ale_stddev_d2,shap_stddev_d2,rel_stddev_reduction_d2,ale_bias2_d3,shap_bias2_d3,ale_stddev_d3,shap_stddev_d3,rel_stddev_reduction_d3,ale_bias2_d4,shap_bias2_d4,ale_stddev_d4,shap_stddev_d4,rel_stddev_reduction_d4,ale_bias2_d5,shap_bias2_d5,ale_stddev_d5,shap_stddev_d5,rel_stddev_reduction_d5,ale_bias2_d6,shap_bias2_d6,ale_stddev_d6,shap_stddev_d6,rel_stddev_reduction_d6,ale_bias2_d7,shap_bias2_d7,ale_stddev_d7,shap_stddev_d7,rel_stddev_reduction_d7,ale_bias2_d8,shap_bias2_d8,ale_stddev_d8,shap_stddev_d8,rel_stddev_reduction_d8,ale_bias2_d9,shap_bias2_d9,ale_stddev_d9,shap_stddev_d9,rel_stddev_reduction_d9,ale_bias2_d10,shap_bias2_d10,ale_stddev_d10,shap_stddev_d10,rel_stddev_reduction_d10,shap_time_mean,ale_time_mean,f_stddev,rel_stddev_reduction
results_sample_X_gaussian_d2_904658a8_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.95,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.288164,1.330670,+0.7834,nan,nan,0.319520,1.337466,+0.7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000389,0.000165,0.33479383301368537,+0.7723
results_sample_X_gaussian_d2_904658a8_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.95,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.311028,1.330670,+0.7663,nan,nan,0.324682,1.337466,+0.7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000389,0.000127,0.33479383301368537,+0.7618
results_sample_X_gaussian_d2_904658a8_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.95,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.324438,1.330670,+0.7562,nan,nan,0.335880,1.337466,+0.7489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000389,0.000094,0.33479383301368537,+0.7525
results_sample_X_gaussian_d2_08514e44_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.99,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,path_integral,0,K40_L25_path_integral,exact,exact_shap,none,1000,0.9006,0.9000,0.003446,0.001402,0.260131,1.219308,+0.7867,0.010838,0.000866,0.415115,1.234499,+0.6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000383,0.005070,0.10207855921557143,+0.7252
results_sample_X_gaussian_d2_08514e44_snr9_signal_nonlinear_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.99,nn_h10_tanh_alpha0.0001_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8890,0.9000,0.001619,0.049803,0.172603,0.512631,+0.6633,0.002003,0.057278,0.183064,0.517670,+0.6464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000430,0.07532692283350868,+0.6548
results_sample_X_gaussian_d2_08514e44_snr9_signal_nonlinear_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.99,nn_h10_tanh_alpha0.0001_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8890,0.9000,0.000947,0.049803,0.174131,0.512631,+0.6603,0.013307,0.057278,0.181973,0.517670,+0.6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000361,0.07532692283350868,+0.6544
results_sample_X_gaussian_d2_08514e44_snr9_signal_nonlinear_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_nonlinear,9.0,0.99,nn_h10_tanh_alpha0.0001_lbfgs,10,tanh,lbfgs,0.01,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8890,0.9000,0.001800,0.049803,0.173905,0.512631,+0.6608,0.002125,0.057278,0.184173,0.517670,+0.6442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000389,0.07532692283350868,+0.6525
results_sample_X_gaussian_d2_26e192a0_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.7,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.9006,0.9000,0.000402,0.001320,0.085366,0.301196,+0.7166,0.000866,0.001610,0.128189,0.309622,+0.5860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000388,0.000377,0.08072906097668221,+0.6513
results_sample_X_gaussian_d2_26e192a0_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.7,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.9006,0.9000,0.000400,0.001320,0.084935,0.301196,+0.7180,0.000923,0.001610,0.128957,0.309622,+0.5835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000388,0.000418,0.08072906097668221,+0.6508
results_sample_X_gaussian_d2_904658a8_snr9_signal_threshold_nn_h10_tanh_alpha0.01_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.95,nn_h10_tanh_alpha0.01_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8898,0.9000,0.006609,0.006988,0.155143,0.398289,+0.6105,0.000977,0.000352,0.157194,0.397190,+0.6042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000503,0.000433,0.09399486571602854,+0.6074
